#: table_doi: 10.17182/hepdata.83911.v1/t1
#: name: Table 1
#: description: The elliptic flow, $v_{2}$, for $K^{0}_{S}$ as a function of $p_{T}$ in pPb collision at 8.16 TeV.
#: data_file: data1.yaml
#: data_license:   
#: keyword reactions: P PB --> $K^{0}_{S}$ X
#: keyword observables: CORR
#: keyword phrases: 
#: keyword cmenergies: 8160.0
#: RE,P PB --> $K^{0}_{S}$ X
#: Rapidity Range,-1.46 < $y_{cm}$ < 0.54
#: $|\Delta\eta|$,> 1
#: SQRT(S)/NUCLEON [GEV],8160.0
#: Multiplicity Class,$185 \leq N_{offline}^{trk} < 250$
$p_{T}$ [GEV],$v_{2}$,stat +,stat -,sys +,sys -
0.33,0.0145,0.0015,-0.0015,0.0009,-0.0009
0.51,0.0304,0.0003,-0.0003,0.0020,-0.0020
0.70,0.0449,0.0002,-0.0002,0.0029,-0.0029
0.90,0.0614,0.0002,-0.0002,0.0040,-0.0040
1.18,0.0843,0.0001,-0.0001,0.0055,-0.0055
1.58,0.1090,0.0001,-0.0001,0.0071,-0.0071
1.98,0.1270,0.0001,-0.0001,0.0083,-0.0083
2.46,0.1410,0.0001,-0.0001,0.0092,-0.0092
3.13,0.1500,0.0002,-0.0002,0.0097,-0.0097
4.01,0.1480,0.0003,-0.0003,0.0097,-0.0097
5.15,0.1390,0.0004,-0.0004,0.0090,-0.0090
6.43,0.1320,0.0009,-0.0009,0.0086,-0.0086
7.62,0.1280,0.0012,-0.0012,0.0083,-0.0083

