#: table_doi: 10.17182/hepdata.83911.v1/t12
#: name: Table 12
#: description: The elliptic flow per constituent quark after correcting back-to-back jet contribution, $v_{2}^{sub}/n_{q}$, for $\Lambda$ as a function of transverse kinetic energy per constituent quark $KE_{T}/n_{q}$ in pPb collision at 8.16 TeV.
#: data_file: data12.yaml
#: data_license:   
#: keyword reactions: P PB --> $\Lambda$ X
#: keyword observables: CORR
#: keyword phrases: 
#: keyword cmenergies: 8160.0
#: RE,P PB --> $\Lambda$ X
#: Rapidity Range,-1.46 < $y_{cm}$ < 0.54
#: $|\Delta\eta|$,> 1
#: SQRT(S)/NUCLEON [GEV],8160.0
#: Multiplicity Class,$185 \leq N_{offline}^{trk} < 250$
$KE_{T}/n_{q}$ [GEV],$v_{2}^{sub}/n_{q}$,stat +,stat -,sys +,sys -
0.11,0.00918,0.00034,-0.00034,0.00060,-0.00060
0.17,0.0160,0.0001,-0.0001,0.0010,-0.0010
0.28,0.0244,0.0001,-0.0001,0.0016,-0.0016
0.39,0.0338,0.0001,-0.0001,0.0022,-0.0022
0.53,0.0438,0.0001,-0.0001,0.0028,-0.0028
0.74,0.0538,0.0002,-0.0002,0.0035,-0.0035
1.01,0.0593,0.0002,-0.0002,0.0039,-0.0039
1.38,0.0591,0.0004,-0.0004,0.0038,-0.0038
1.80,0.0507,0.0009,-0.0009,0.0033,-0.0033
2.19,0.0415,0.0013,-0.0013,0.0027,-0.0027

