#: table_doi: 10.17182/hepdata.83911.v1/t13
#: name: Table 13
#: description: The elliptic flow per constituent quark after correcting back-to-back jet contribution, $v_{2}^{sub}/n_{q}$, for $\Xi^{-}$ as a function of transverse kinetic energy per constituent quark $KE_{T}/n_{q}$ in pPb collision at 8.16 TeV.
#: data_file: data13.yaml
#: data_license:   
#: keyword reactions: P PB --> $\Xi^{-}$ X
#: keyword observables: CORR
#: keyword phrases: 
#: keyword cmenergies: 8160.0
#: RE,P PB --> $\Xi^{-}$ X
#: Rapidity Range,-1.46 < $y_{cm}$ < 0.54
#: $|\Delta\eta|$,> 1
#: SQRT(S)/NUCLEON [GEV],8160.0
#: Multiplicity Class,$185 \leq N_{offline}^{trk} < 250$
$KE_{T}/n_{q}$ [GEV],$v_{2}^{sub}/n_{q}$,stat +,stat -,sys +,sys -
0.17,0.0140,0.0053,-0.0053,0.0009,-0.0009
0.26,0.0221,0.0017,-0.0017,0.0014,-0.0014
0.36,0.0284,0.0016,-0.0016,0.0018,-0.0018
0.50,0.0367,0.0015,-0.0015,0.0024,-0.0024
0.71,0.0503,0.0015,-0.0015,0.0033,-0.0033
0.98,0.0547,0.0021,-0.0021,0.0036,-0.0036
1.33,0.0653,0.0025,-0.0025,0.0042,-0.0042
1.76,0.0623,0.0050,-0.0050,0.0041,-0.0041
2.28,0.0609,0.0082,-0.0082,0.0040,-0.0040

