#: table_doi: 10.17182/hepdata.83911.v1/t21
#: name: Table 21
#: description: The elliptic flow per constituent quark after correcting back-to-back jet contribution, $v_{2}^{sub}/n_{q}$, for $\Lambda$ as a function of transverse kinetic energy per constituent quark $KE_{T}/n_{q}$ in PbPb collision at 5.02 TeV.
#: data_file: data21.yaml
#: data_license:   
#: keyword reactions: PB PB --> $\Lambda$ X
#: keyword observables: CORR
#: keyword phrases: 
#: keyword cmenergies: 5020.0-8160.0
#: RE,PB PB --> $\Lambda$ X
#: $|\Delta\eta|$,> 1
#: Centrality Class,30-50%
#: SQRT(S)/NUCLEON [GEV],5020.0
#: Rapidity Range,-1 < $y_{cm}$ < 1
$KE_{T}/n_{q}$ [GEV],$v_{2}^{sub}/n_{q}$,stat +,stat -,sys +,sys -
0.11,0.00568,0.00013,-0.00013,0.00036,-0.00036
0.18,0.0208,0.0000,-0.0000,0.0013,-0.0013
0.28,0.0360,0.0000,-0.0000,0.0023,-0.0023
0.39,0.0524,0.0000,-0.0000,0.0033,-0.0033
0.53,0.0688,0.0000,-0.0000,0.0043,-0.0043
0.74,0.0820,0.0000,-0.0000,0.0052,-0.0052
1.01,0.0866,0.0000,-0.0000,0.0055,-0.0055
1.37,0.0782,0.0002,-0.0002,0.0049,-0.0049
1.80,0.0619,0.0004,-0.0004,0.0039,-0.0039
2.20,0.0519,0.0007,-0.0007,0.0033,-0.0033

