#: table_doi: 10.17182/hepdata.83911.v1/t3
#: name: Table 3
#: description: The elliptic flow, $v_{2}$, for $\Xi^{-}$ as a function of $p_{T}$ in pPb collision at 8.16 TeV.
#: data_file: data3.yaml
#: data_license:   
#: keyword reactions: P PB --> $\Xi^{-}$ X
#: keyword observables: CORR
#: keyword phrases: 
#: keyword cmenergies: 8160.0
#: RE,P PB --> $\Xi^{-}$ X
#: Rapidity Range,-1.46 < $y_{cm}$ < 0.54
#: $|\Delta\eta|$,> 1
#: SQRT(S)/NUCLEON [GEV],8160.0
#: Multiplicity Class,$185 \leq N_{offline}^{trk} < 250$
$p_{T}$ [GEV],$v_{2}$,stat +,stat -,sys +,sys -
1.28,0.0424,0.0058,-0.0058,0.0037,-0.0037
1.62,0.0692,0.0030,-0.0030,0.0060,-0.0060
2.01,0.0958,0.0025,-0.0025,0.0082,-0.0082
2.50,0.128,0.002,-0.002,0.011,-0.011
3.18,0.167,0.002,-0.002,0.014,-0.014
4.04,0.199,0.002,-0.002,0.017,-0.017
5.14,0.215,0.003,-0.003,0.018,-0.018
6.47,0.202,0.007,-0.007,0.017,-0.017
8.05,0.200,0.010,-0.010,0.017,-0.017

