#: table_doi: 10.17182/hepdata.83911.v1/t7
#: name: Table 7
#: description: The elliptic flow after correcting back-to-back jet contribution, $v_{2}^{sub}$, for $\Lambda$ as a function of $p_{T}$ in pPb collision at 8.16 TeV.
#: data_file: data7.yaml
#: data_license:   
#: keyword reactions: P PB --> $\Lambda$ X
#: keyword observables: CORR
#: keyword phrases: 
#: keyword cmenergies: 8160.0
#: RE,P PB --> $\Lambda$ X
#: Rapidity Range,-1.46 < $y_{cm}$ < 0.54
#: $|\Delta\eta|$,> 1
#: SQRT(S)/NUCLEON [GEV],8160.0
#: Multiplicity Class,$185 \leq N_{offline}^{trk} < 250$
$p_{T}$ [GEV],$v_{2}^{sub}$,stat +,stat -,sys +,sys -
0.93,0.0275,0.0010,-0.0010,0.0018,-0.0018
1.19,0.0479,0.0004,-0.0004,0.0031,-0.0031
1.60,0.0733,0.0003,-0.0003,0.0048,-0.0048
1.99,0.1010,0.0004,-0.0004,0.0066,-0.0066
2.47,0.1310,0.0004,-0.0004,0.0085,-0.0085
3.14,0.161,0.000,-0.000,0.011,-0.011
4.00,0.178,0.001,-0.001,0.012,-0.012
5.12,0.177,0.001,-0.001,0.012,-0.012
6.42,0.152,0.003,-0.003,0.010,-0.010
7.60,0.1250,0.0040,-0.0040,0.0081,-0.0081

