#: table_doi: 10.17182/hepdata.83911.v1/t8
#: name: Table 8
#: description: The elliptic flow after correcting back-to-back jet contribution, $v_{2}^{sub}$, for $\Xi^{-}$ as a function of $p_{T}$ in pPb collision at 8.16 TeV.
#: data_file: data8.yaml
#: data_license:   
#: keyword reactions: P PB --> $\Xi^{-}$ X
#: keyword observables: CORR
#: keyword phrases: 
#: keyword cmenergies: 8160.0
#: RE,P PB --> $\Xi^{-}$ X
#: Rapidity Range,-1.46 < $y_{cm}$ < 0.54
#: $|\Delta\eta|$,> 1
#: SQRT(S)/NUCLEON [GEV],8160.0
#: Multiplicity Class,$185 \leq N_{offline}^{trk} < 250$
$p_{T}$ [GEV],$v_{2}^{sub}$,stat +,stat -,sys +,sys -
1.28,0.042,0.016,-0.016,0.003,-0.003
1.62,0.0662,0.0051,-0.0051,0.0043,-0.0043
2.01,0.0852,0.0049,-0.0049,0.0055,-0.0055
2.50,0.1100,0.0046,-0.0046,0.0072,-0.0072
3.18,0.151,0.004,-0.004,0.010,-0.010
4.04,0.164,0.006,-0.006,0.011,-0.011
5.14,0.196,0.007,-0.007,0.013,-0.013
6.47,0.187,0.015,-0.015,0.012,-0.012
8.05,0.183,0.025,-0.025,0.012,-0.012

